model,hidden,states,gate_hidden,seeds,accuracy_mean,final_loss_mean,train_time_mean_sec,inference_time_mean_sec,flops_per_sample,params,accuracy_per_mflop_mean
dense,64,0,0,1,0.9371,0.21335493509625655,12.089770700025838,0.07835110003361478,109824,55050,8.532743298368299
dense,128,0,0,1,0.938,0.1961196601097012,16.20423239999218,0.11029819998657331,236032,118282,3.9740374186550973
dense,256,0,0,1,0.9413,0.18668552798365268,28.571366199990734,0.19478120002895594,537600,269322,1.7509300595238098
v4,64,4,32,1,0.927,0.21062653407197338,66.85809920000611,0.30516869999701157,273152,300114,3.393714854732896
v4,128,4,32,1,0.933,0.18829261214298482,89.8505871000234,0.45280289999209344,528384,615762,1.765761264534884
v4,256,4,32,1,0.9331,0.17436197938594572,174.7756050999742,0.6868939000414684,1137152,1369938,0.8205587291760469
